,User 0,User 1,User 2,User 3,User 4,precisionG,recallG,fscoreG,T,C,Quantity,,,,
292,587,193,454,458,233,1,1,1,2,2,790,,,,
293,240,569,372,64,408,1,1,1,2,2,963,,,,
294,539,485,353,579,322,0,0,0,0,0,682,,,,
295,251,392,629,266,650,1,1,1,2,2,929,,,,
296,381,208,606,361,214,0,0,0,0,0,789,,,,
297,216,37,483,80,235,1,1,1,4,4,829,,,,
298,88,632,369,279,409,0,0,0,0,0,652,,,,
299,357,434,529,384,554,0,0,0,0,0,323,,,,
300,475,560,307,69,349,0,0,0,0,0,948,,,,
301,316,373,328,186,479,0,0,0,0,0,718,,,,
302,489,226,172,331,383,1,1,1,6,6,1018,,,,
303,114,317,268,9,164,0,0,0,0,0,922,,,,
304,484,139,405,102,640,0,0,0,0,0,762,,,,
305,286,398,288,74,319,0,0,0,0,0,791,,,,
306,579,394,344,212,211,0,0,0,0,0,815,,,,
307,193,157,541,500,167,1,1,1,4,4,752,,,,
308,203,414,249,538,545,1,1,1,2,2,854,,,,
309,419,391,229,42,39,0,0,0,0,0,643,,,,
310,493,409,345,69,19,1,1,1,2,2,867,,,,
311,594,450,125,144,18,1,1,1,3,3,870,,,,
312,256,313,618,240,548,0,0,0,0,0,264,,,,
313,77,94,523,198,175,1,1,1,3,3,975,,,,
314,226,448,93,478,284,1,1,1,2,2,850,,,,
315,373,367,204,145,210,1,1,1,2,2,795,,,,
316,610,464,632,428,68,0,0,0,0,0,803,,,,
317,567,371,34,254,339,0,0,0,0,0,868,,,,
318,585,321,50,105,586,0,0,0,0,0,402,,,,
319,440,375,312,601,376,1,1,1,2,2,743,,,,
320,159,342,631,46,494,0,0,0,0,0,262,,,,
321,521,622,394,410,647,1,1,1,2,2,933,,,,
322,283,501,161,15,575,1,1,1,2,2,827,,,,
323,639,448,486,514,599,1,1,1,2,2,824,,,,
324,462,47,14,253,602,0,0,0,0,0,923,,,,
325,651,1,285,282,96,0,0,0,0,0,733,,,,
326,125,132,137,353,42,0,0,0,0,0,684,,,,
327,619,95,179,205,10,0,0,0,0,0,425,,,,
328,523,186,528,545,385,0,0,0,0,0,526,,,,
329,239,77,611,640,302,0,0,0,0,0,756,,,,
330,265,570,177,125,445,1,1,1,3,3,889,,,,
331,147,384,156,186,444,0,0,0,0,0,717,,,,
332,608,205,584,562,407,1,1,1,2,2,756,,,,
333,146,62,590,409,156,1,1,1,3,3,1100,,,,
334,78,570,356,571,376,1,1,1,2,2,872,,,,
335,398,483,325,452,549,1,1,1,4,4,962,,,,
336,148,112,456,223,299,1,1,1,3,3,824,,,,
337,427,287,329,167,414,1,1,1,2,2,1032,,,,
338,367,421,229,499,18,0.666666667,1,0.8,2,3,1032,,,,
339,45,259,235,126,615,0,0,0,0,0,582,,,,
340,158,492,463,94,251,1,1,1,2,2,968,,,,
341,27,409,22,621,516,1,1,1,2,2,420,,,,
342,404,299,321,93,158,0,0,0,0,0,757,,,,
343,228,131,591,297,323,1,1,1,2,2,628,,,,
344,137,82,537,242,210,1,1,1,2,2,860,,,,
345,332,384,26,316,355,0,0,0,0,0,433,,,,
346,291,277,209,99,500,0,0,0,0,0,930,,,,
347,515,213,149,531,353,0,0,0,0,0,615,,,,
348,585,630,211,417,214,0,0,0,0,0,762,,,,
349,550,200,643,307,295,0,0,0,0,0,754,,,,
350,146,235,610,406,495,1,1,1,2,2,681,,,,
351,242,122,548,395,11,0,0,0,0,0,916,,,,
352,309,633,647,331,364,0,0,0,0,0,655,,,,
353,574,305,550,14,324,1,1,1,3,3,1247,,,,
354,346,79,85,137,8,0,0,0,0,0,992,,,,
355,585,184,97,383,606,0,0,0,0,0,744,,,,
356,51,335,99,61,248,0,0,0,0,0,955,,,,
357,257,4,444,155,170,1,1,1,2,2,697,,,,
358,201,36,601,347,596,0,0,0,0,0,269,,,,
359,481,641,322,443,342,0,0,0,0,0,712,,,,
360,311,25,596,276,159,0,0,0,0,0,436,,,,
361,580,278,393,619,492,0,0,0,0,0,585,,,,
362,394,395,573,580,218,1,1,1,2,2,747,,,,
363,314,131,417,108,190,1,1,1,2,2,1011,,,,
364,644,303,252,97,332,0,0,0,0,0,590,,,,
