User0,User1,User2,SL item đánh giá chung
478.0,181.0,632.0,4.0
503.0,499.0,434.0,11.0
342.0,262.0,413.0,8.0
468.0,387.0,258.0,5.0
399.0,38.0,23.0,7.0
385.0,373.0,230.0,3.0
607.0,348.0,25.0,4.0
561.0,381.0,495.0,7.0
37.0,602.0,548.0,8.0
78.0,372.0,100.0,15.0
37.0,516.0,78.0,6.0
275.0,425.0,158.0,13.0
633.0,120.0,309.0,4.0
326.0,339.0,79.0,6.0
547.0,516.0,450.0,8.0
101.0,488.0,572.0,4.0
273.0,632.0,547.0,11.0
93.0,600.0,401.0,12.0
3.0,387.0,259.0,6.0
467.0,533.0,128.0,6.0
60.0,496.0,81.0,11.0
205.0,200.0,313.0,4.0
609.0,104.0,3.0,4.0
86.0,302.0,22.0,7.0
292.0,3.0,151.0,8.0
526.0,655.0,270.0,6.0
287.0,572.0,613.0,4.0
617.0,361.0,238.0,4.0
164.0,652.0,434.0,7.0
323.0,343.0,238.0,9.0
573.0,40.0,552.0,6.0
176.0,459.0,585.0,5.0
204.0,497.0,210.0,8.0
384.0,397.0,319.0,7.0
555.0,616.0,421.0,5.0
627.0,371.0,538.0,8.0
68.0,130.0,127.0,6.0
259.0,392.0,271.0,4.0
237.0,509.0,471.0,10.0
528.0,376.0,535.0,11.0
287.0,459.0,608.0,3.0
248.0,120.0,364.0,5.0
301.0,29.0,531.0,3.0
334.0,195.0,22.0,6.0
114.0,53.0,588.0,7.0
516.0,526.0,60.0,8.0
214.0,444.0,264.0,5.0
191.0,441.0,380.0,10.0
226.0,567.0,453.0,11.0
316.0,140.0,248.0,7.0
72.0,40.0,481.0,7.0
481.0,33.0,550.0,6.0
510.0,456.0,9.0,6.0
404.0,251.0,48.0,4.0
204.0,485.0,371.0,6.0
572.0,598.0,266.0,6.0
296.0,126.0,387.0,7.0
92.0,49.0,195.0,4.0
81.0,390.0,2.0,9.0
510.0,524.0,440.0,7.0
267.0,286.0,164.0,11.0
95.0,499.0,557.0,7.0
499.0,572.0,287.0,3.0
464.0,280.0,381.0,7.0
325.0,376.0,108.0,3.0
64.0,90.0,50.0,6.0
466.0,292.0,247.0,7.0
70.0,283.0,325.0,8.0
55.0,10.0,399.0,6.0
337.0,145.0,7.0,7.0
423.0,252.0,112.0,3.0
172.0,462.0,281.0,11.0
149.0,173.0,603.0,6.0
588.0,193.0,164.0,3.0
655.0,129.0,81.0,12.0
542.0,610.0,89.0,8.0
114.0,633.0,98.0,7.0
609.0,101.0,642.0,4.0
601.0,229.0,78.0,14.0
338.0,188.0,604.0,9.0
179.0,360.0,329.0,6.0
533.0,413.0,595.0,7.0
144.0,142.0,24.0,7.0
524.0,76.0,279.0,6.0
3.0,281.0,24.0,5.0
182.0,364.0,36.0,13.0
594.0,599.0,454.0,10.0
434.0,639.0,180.0,6.0
393.0,374.0,462.0,8.0
144.0,46.0,624.0,3.0
199.0,606.0,402.0,7.0
69.0,637.0,514.0,15.0
250.0,93.0,629.0,8.0
368.0,562.0,67.0,8.0
581.0,248.0,10.0,14.0
562.0,294.0,582.0,6.0
544.0,647.0,414.0,12.0
176.0,98.0,157.0,8.0
631.0,538.0,471.0,5.0
645.0,620.0,85.0,8.0
647.0,650.0,188.0,10.0
476.0,284.0,529.0,8.0
210.0,548.0,308.0,8.0
55.0,571.0,468.0,4.0
85.0,223.0,304.0,6.0
65.0,583.0,400.0,4.0
124.0,550.0,355.0,11.0
351.0,460.0,284.0,3.0
624.0,179.0,379.0,7.0
