User0,User1,SL item đánh giá chung
475.0,128.0,44.0
168.0,349.0,57.0
287.0,331.0,42.0
212.0,415.0,41.0
399.0,115.0,49.0
154.0,256.0,65.0
234.0,293.0,52.0
162.0,143.0,52.0
389.0,1.0,55.0
580.0,309.0,43.0
145.0,566.0,49.0
548.0,51.0,43.0
244.0,123.0,41.0
543.0,286.0,56.0
220.0,270.0,45.0
140.0,537.0,43.0
432.0,243.0,49.0
480.0,527.0,45.0
136.0,547.0,49.0
282.0,617.0,55.0
616.0,522.0,62.0
404.0,20.0,42.0
273.0,377.0,50.0
246.0,638.0,44.0
309.0,101.0,51.0
126.0,170.0,51.0
19.0,92.0,52.0
199.0,80.0,53.0
84.0,654.0,51.0
440.0,251.0,50.0
22.0,453.0,43.0
449.0,312.0,48.0
45.0,184.0,39.0
462.0,567.0,54.0
653.0,255.0,43.0
630.0,92.0,53.0
145.0,221.0,48.0
1.0,216.0,50.0
268.0,587.0,41.0
627.0,394.0,48.0
11.0,263.0,51.0
568.0,132.0,61.0
81.0,2.0,52.0
424.0,465.0,50.0
617.0,97.0,42.0
577.0,581.0,37.0
326.0,262.0,41.0
319.0,503.0,42.0
320.0,212.0,45.0
598.0,569.0,47.0
338.0,217.0,49.0
290.0,231.0,58.0
7.0,456.0,44.0
618.0,610.0,53.0
256.0,337.0,46.0
254.0,586.0,39.0
608.0,456.0,64.0
559.0,407.0,50.0
171.0,601.0,56.0
616.0,413.0,49.0
477.0,461.0,43.0
121.0,217.0,42.0
603.0,580.0,51.0
284.0,335.0,38.0
475.0,56.0,42.0
216.0,586.0,39.0
36.0,439.0,49.0
156.0,100.0,48.0
410.0,460.0,50.0
39.0,602.0,55.0
311.0,323.0,42.0
609.0,159.0,63.0
469.0,632.0,48.0
92.0,14.0,57.0
98.0,45.0,51.0
147.0,637.0,52.0
655.0,555.0,46.0
513.0,250.0,48.0
274.0,143.0,50.0
183.0,238.0,60.0
162.0,79.0,64.0
617.0,59.0,53.0
574.0,142.0,54.0
416.0,578.0,51.0
613.0,644.0,46.0
616.0,393.0,41.0
302.0,602.0,52.0
564.0,618.0,51.0
312.0,157.0,45.0
610.0,385.0,60.0
329.0,378.0,45.0
75.0,334.0,44.0
239.0,233.0,57.0
120.0,297.0,53.0
326.0,486.0,53.0
292.0,30.0,45.0
147.0,507.0,51.0
634.0,74.0,45.0
17.0,630.0,36.0
635.0,567.0,48.0
225.0,260.0,53.0
217.0,318.0,47.0
268.0,153.0,39.0
557.0,236.0,42.0
394.0,372.0,42.0
640.0,660.0,62.0
207.0,612.0,58.0
624.0,38.0,49.0
104.0,98.0,47.0
374.0,660.0,48.0
355.0,455.0,56.0
202.0,477.0,49.0
590.0,428.0,49.0
452.0,511.0,40.0
348.0,515.0,51.0
539.0,568.0,54.0
83.0,581.0,52.0
556.0,116.0,58.0
391.0,329.0,52.0
455.0,440.0,50.0
411.0,394.0,42.0
307.0,308.0,54.0
164.0,199.0,53.0
6.0,511.0,56.0
615.0,631.0,51.0
230.0,51.0,49.0
191.0,656.0,40.0
308.0,312.0,45.0
53.0,19.0,41.0
262.0,282.0,50.0
42.0,628.0,47.0
31.0,479.0,61.0
73.0,407.0,47.0
18.0,35.0,46.0
323.0,346.0,43.0
476.0,530.0,64.0
312.0,247.0,45.0
433.0,420.0,47.0
254.0,233.0,50.0
303.0,204.0,43.0
190.0,158.0,57.0
280.0,209.0,48.0
599.0,364.0,45.0
245.0,43.0,51.0
243.0,397.0,55.0
8.0,305.0,46.0
237.0,461.0,45.0
353.0,48.0,51.0
419.0,527.0,53.0
65.0,552.0,57.0
380.0,227.0,46.0
542.0,305.0,43.0
329.0,107.0,42.0
344.0,398.0,60.0
91.0,489.0,52.0
329.0,103.0,50.0
55.0,593.0,58.0
85.0,31.0,39.0
601.0,85.0,49.0
366.0,136.0,64.0
320.0,16.0,43.0
603.0,281.0,45.0
213.0,533.0,46.0
498.0,408.0,49.0
544.0,183.0,48.0
269.0,248.0,47.0
124.0,449.0,50.0
101.0,563.0,45.0
265.0,101.0,41.0
59.0,183.0,49.0
28.0,39.0,51.0
439.0,540.0,48.0
490.0,278.0,50.0
75.0,157.0,42.0
83.0,246.0,47.0
89.0,11.0,46.0
536.0,408.0,47.0
659.0,542.0,47.0
368.0,475.0,54.0
141.0,15.0,48.0
162.0,579.0,53.0
23.0,40.0,54.0
442.0,422.0,39.0
442.0,450.0,58.0
517.0,466.0,42.0
193.0,336.0,51.0
317.0,631.0,50.0
214.0,185.0,59.0
585.0,599.0,45.0
155.0,3.0,47.0
114.0,422.0,33.0
316.0,486.0,44.0
402.0,241.0,42.0
89.0,519.0,47.0
334.0,212.0,59.0
112.0,100.0,49.0
435.0,547.0,59.0
661.0,264.0,45.0
427.0,430.0,56.0
444.0,193.0,51.0
582.0,231.0,57.0
452.0,227.0,47.0
209.0,233.0,56.0
91.0,246.0,54.0
209.0,643.0,56.0
425.0,411.0,55.0
331.0,322.0,51.0
94.0,263.0,46.0
543.0,481.0,54.0
601.0,491.0,55.0
45.0,234.0,40.0
33.0,654.0,55.0
237.0,418.0,60.0
128.0,431.0,39.0
624.0,41.0,49.0
456.0,120.0,49.0
368.0,494.0,54.0
551.0,194.0,44.0
252.0,427.0,43.0
406.0,252.0,57.0
226.0,64.0,48.0
31.0,444.0,51.0
236.0,370.0,59.0
102.0,351.0,39.0
531.0,107.0,44.0
145.0,368.0,40.0
32.0,260.0,62.0
103.0,541.0,50.0
662.0,625.0,44.0
556.0,18.0,42.0
331.0,433.0,42.0
521.0,382.0,57.0
231.0,597.0,49.0
617.0,570.0,46.0
97.0,558.0,48.0
478.0,556.0,43.0
503.0,138.0,42.0
237.0,11.0,37.0
213.0,90.0,49.0
633.0,636.0,46.0
303.0,285.0,55.0
509.0,125.0,50.0
78.0,323.0,49.0
289.0,202.0,54.0
306.0,610.0,63.0
256.0,303.0,46.0
149.0,257.0,48.0
146.0,296.0,55.0
643.0,544.0,43.0
251.0,108.0,56.0
185.0,601.0,61.0
605.0,410.0,47.0
160.0,557.0,44.0
208.0,469.0,41.0
209.0,307.0,46.0
468.0,12.0,50.0
244.0,311.0,45.0
215.0,205.0,54.0
521.0,272.0,60.0
356.0,552.0,51.0
650.0,27.0,45.0
461.0,105.0,52.0
469.0,42.0,48.0
264.0,243.0,47.0
580.0,535.0,52.0
250.0,149.0,51.0
248.0,393.0,45.0
166.0,286.0,57.0
548.0,564.0,66.0
375.0,435.0,55.0
330.0,465.0,54.0
190.0,107.0,53.0
144.0,464.0,55.0
435.0,147.0,43.0
475.0,366.0,49.0
253.0,406.0,55.0
574.0,472.0,46.0
221.0,500.0,39.0
216.0,540.0,48.0
55.0,642.0,48.0
322.0,86.0,52.0
15.0,195.0,46.0
83.0,247.0,48.0
408.0,488.0,52.0
184.0,426.0,41.0
