,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
244,180,51,564,533,0.666666667,1,0.8,22,33,1337
245,640,460,522,98,0.75,1,0.857142857,33,44,1275
246,52,25,440,48,0.666666667,1,0.8,20,30,1293
247,536,447,296,443,0.8,1,0.888888889,40,50,1364
248,18,148,268,124,0.744186047,1,0.853333333,32,43,1292
249,570,623,487,556,0.742857143,1,0.852459016,26,35,1252
250,464,243,432,385,0.740740741,1,0.85106383,20,27,1262
251,271,370,485,219,0.794117647,1,0.885245902,27,34,1325
252,392,550,589,619,0.682926829,1,0.811594203,28,41,1311
253,520,160,207,144,0.673913043,1,0.805194805,31,46,1298
254,422,96,395,356,0.816326531,1,0.898876404,40,49,1324
255,33,109,80,544,0.765957447,1,0.86746988,36,47,1388
256,150,585,486,392,0.714285714,1,0.833333333,30,42,1325
257,151,134,6,130,0.808510638,1,0.894117647,38,47,1305
258,234,290,273,391,0.75,1,0.857142857,33,44,1276
259,256,592,481,317,0.782608696,1,0.87804878,36,46,1338
260,646,11,315,168,0.630434783,1,0.773333333,29,46,1281
261,647,379,165,608,0.80952381,1,0.894736842,34,42,1326
262,127,412,70,617,0.829268293,1,0.906666667,34,41,1387
263,47,102,160,231,0.688888889,1,0.815789474,31,45,1366
264,185,616,180,411,0.833333333,1,0.909090909,40,48,1329
265,417,403,444,536,0.79245283,1,0.884210526,42,53,1356
266,441,291,624,249,0.780487805,1,0.876712329,32,41,1294
267,257,276,333,621,0.722222222,1,0.838709677,26,36,1289
268,402,479,322,651,0.692307692,1,0.818181818,27,39,1388
269,611,418,539,297,0.787878788,1,0.881355932,26,33,1293
270,253,524,212,396,0.804347826,1,0.891566265,37,46,1238
271,81,278,635,498,0.770833333,1,0.870588235,37,48,1338
272,43,36,452,281,0.75,1,0.857142857,30,40,1294
273,421,384,438,168,0.651162791,1,0.788732394,28,43,1292
274,118,361,632,209,0.756097561,1,0.861111111,31,41,1321
275,620,45,350,116,0.791666667,1,0.88372093,38,48,1291
276,496,95,626,81,0.796296296,1,0.886597938,43,54,1313
277,564,517,63,70,0.727272727,1,0.842105263,24,33,1230
278,84,367,543,87,0.763157895,1,0.865671642,29,38,1258
279,142,640,444,249,0.775,1,0.873239437,31,40,1310
280,426,653,575,231,0.803921569,1,0.891304348,41,51,1317
281,37,602,36,298,0.739130435,1,0.85,34,46,1332
282,367,317,252,81,0.625,1,0.769230769,25,40,1319
283,299,396,227,628,0.735294118,1,0.847457627,25,34,1321
284,500,404,170,431,0.735294118,1,0.847457627,25,34,1351
285,260,470,591,193,0.833333333,1,0.909090909,30,36,1290
286,258,255,436,338,0.75,1,0.857142857,30,40,1291
287,373,30,53,166,0.8,1,0.888888889,44,55,1312
288,453,116,172,186,0.739130435,1,0.85,34,46,1343
289,651,556,452,606,0.714285714,1,0.833333333,25,35,1273
290,603,289,657,169,0.846153846,1,0.916666667,33,39,1255
291,324,96,331,262,0.8,1,0.888888889,40,50,1299
292,337,590,58,657,0.833333333,1,0.909090909,35,42,1264
293,491,644,49,174,0.787234043,1,0.880952381,37,47,1328
294,487,658,443,197,0.803921569,1,0.891304348,41,51,1325
