,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
144,12,236,55,0.739130435,1,0.85,17,23,1429
145,607,150,8,0.695652174,1,0.820512821,16,23,1475
146,409,561,451,0.896551724,1,0.945454545,26,29,1483
147,292,573,64,0.9,1,0.947368421,18,20,1539
148,24,384,290,0.735294118,1,0.847457627,25,34,1495
149,611,324,422,0.88,1,0.936170213,22,25,1547
150,194,406,447,0.863636364,1,0.926829268,19,22,1604
151,531,483,462,0.666666667,1,0.8,10,15,1522
152,544,652,595,0.958333333,1,0.978723404,23,24,1537
153,395,466,8,0.892857143,1,0.943396226,25,28,1563
154,526,125,121,0.904761905,1,0.95,19,21,1507
155,541,237,372,0.888888889,1,0.941176471,24,27,1559
156,353,27,538,0.818181818,1,0.9,27,33,1486
157,323,370,525,0.833333333,1,0.909090909,15,18,1450
158,368,365,53,0.8,1,0.888888889,16,20,1553
159,372,561,492,0.846153846,1,0.916666667,22,26,1537
160,623,97,109,0.9,1,0.947368421,18,20,1456
161,478,497,545,0.92,1,0.958333333,23,25,1491
162,135,306,417,0.916666667,1,0.956521739,22,24,1563
163,73,546,150,0.818181818,1,0.9,27,33,1438
164,507,543,324,0.761904762,1,0.864864865,16,21,1491
165,273,234,486,0.866666667,1,0.928571429,26,30,1550
166,424,264,243,0.944444444,1,0.971428571,17,18,1536
167,353,88,206,0.909090909,1,0.952380952,20,22,1512
168,314,600,382,0.923076923,1,0.96,24,26,1489
169,499,134,7,0.827586207,1,0.905660377,24,29,1529
170,616,552,517,0.903225806,1,0.949152542,28,31,1523
171,4,210,376,0.875,1,0.933333333,21,24,1503
172,393,59,591,0.852941176,1,0.920634921,29,34,1493
173,397,534,457,0.785714286,1,0.88,22,28,1473
174,81,415,470,0.818181818,1,0.9,18,22,1521
175,346,340,87,0.764705882,1,0.866666667,13,17,1522
176,190,151,304,0.866666667,1,0.928571429,13,15,1524
177,304,106,96,0.88,1,0.936170213,22,25,1456
178,565,178,361,0.888888889,1,0.941176471,16,18,1529
179,266,430,612,0.942857143,1,0.970588235,33,35,1503
180,334,125,423,0.823529412,1,0.903225806,14,17,1422
181,168,354,257,0.923076923,1,0.96,24,26,1481
182,581,184,194,0.904761905,1,0.95,19,21,1493
183,379,303,341,0.782608696,1,0.87804878,18,23,1548
184,103,505,244,0.958333333,1,0.978723404,23,24,1489
185,154,444,647,0.9,1,0.947368421,18,20,1526
186,373,462,32,0.916666667,1,0.956521739,33,36,1432
187,143,68,176,0.851851852,1,0.92,23,27,1560
188,421,182,608,0.735294118,1,0.847457627,25,34,1536
189,555,406,566,0.869565217,1,0.930232558,20,23,1566
190,181,492,472,0.8,1,0.888888889,16,20,1571
