,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
207,404,592,54,0.88,1,0.936170213,22,25,1461
208,339,273,432,0.904761905,1,0.95,19,21,1435
209,285,479,56,0.741935484,1,0.851851852,23,31,1531
210,199,52,241,0.9,1,0.947368421,27,30,1447
211,447,492,118,0.913043478,1,0.954545455,21,23,1438
212,371,22,189,0.888888889,1,0.941176471,24,27,1383
213,351,438,310,0.76,1,0.863636364,19,25,1440
214,381,306,531,0.909090909,1,0.952380952,30,33,1372
215,92,484,476,0.916666667,1,0.956521739,22,24,1403
216,603,556,523,0.846153846,1,0.916666667,22,26,1283
217,351,50,175,0.909090909,1,0.952380952,30,33,1417
218,242,549,415,0.903225806,1,0.949152542,28,31,1419
219,465,122,356,0.875,1,0.933333333,14,16,1431
220,650,571,87,0.806451613,1,0.892857143,25,31,1416
221,377,369,565,0.894736842,1,0.944444444,17,19,1419
222,373,405,457,0.9,1,0.947368421,18,20,1435
223,129,370,257,0.735294118,1,0.847457627,25,34,1431
224,170,33,389,0.96,1,0.979591837,24,25,1439
225,379,436,1,0.966666667,1,0.983050847,29,30,1436
226,483,139,156,0.869565217,1,0.930232558,20,23,1369
227,32,545,300,0.939393939,1,0.96875,31,33,1486
228,75,642,54,0.807692308,1,0.893617021,21,26,1417
229,212,311,298,0.884615385,1,0.93877551,23,26,1445
230,471,286,135,0.928571429,1,0.962962963,13,14,1498
231,490,270,86,0.829268293,1,0.906666667,34,41,1499
232,134,229,630,0.875,1,0.933333333,21,24,1336
233,586,258,481,0.961538462,1,0.980392157,25,26,1369
234,130,475,579,0.916666667,1,0.956521739,22,24,1479
235,176,506,508,0.833333333,1,0.909090909,15,18,1395
236,457,611,403,0.96875,1,0.984126984,31,32,1369
237,135,608,627,0.904761905,1,0.95,19,21,1432
238,626,340,84,0.888888889,1,0.941176471,16,18,1423
239,608,30,315,0.964285714,1,0.981818182,27,28,1432
240,300,15,108,0.833333333,1,0.909090909,20,24,1418
241,454,273,381,0.878787879,1,0.935483871,29,33,1363
242,226,563,577,0.942857143,1,0.970588235,33,35,1494
243,598,469,397,0.863636364,1,0.926829268,19,22,1455
244,126,245,101,0.878787879,1,0.935483871,29,33,1477
245,295,564,355,0.896551724,1,0.945454545,26,29,1358
246,651,416,605,0.833333333,1,0.909090909,25,30,1451
247,259,555,620,0.928571429,1,0.962962963,13,14,1353
248,549,91,264,0.9,1,0.947368421,27,30,1462
249,492,442,111,0.896551724,1,0.945454545,26,29,1382
250,511,225,46,0.952380952,1,0.975609756,20,21,1346
251,597,306,307,0.9,1,0.947368421,27,30,1516
252,220,230,409,0.888888889,1,0.941176471,24,27,1435
253,485,233,189,0.95,1,0.974358974,19,20,1522
254,593,600,229,0.814814815,1,0.897959184,22,27,1517
255,4,316,315,0.894736842,1,0.944444444,17,19,1355
256,349,420,635,0.888888889,1,0.941176471,16,18,1397
257,118,498,571,0.869565217,1,0.930232558,20,23,1470
258,413,11,548,0.806451613,1,0.892857143,25,31,1384
259,405,160,390,0.814814815,1,0.897959184,22,27,1466
260,84,501,227,0.826086957,1,0.904761905,19,23,1406
261,90,33,653,0.9375,1,0.967741935,30,32,1381
262,286,283,518,0.904761905,1,0.95,19,21,1442
263,80,62,155,0.925925926,1,0.961538462,25,27,1374
264,503,600,606,0.791666667,1,0.88372093,19,24,1431
265,454,507,283,0.925925926,1,0.961538462,25,27,1388
266,538,662,509,0.875,1,0.933333333,21,24,1475
267,225,378,477,0.913043478,1,0.954545455,21,23,1402
268,130,354,3,0.903225806,1,0.949152542,28,31,1442
269,650,541,274,0.961538462,1,0.980392157,25,26,1402
270,39,433,18,0.913043478,1,0.954545455,21,23,1428
271,426,590,420,0.942857143,1,0.970588235,33,35,1456
272,449,186,446,0.956521739,1,0.977777778,22,23,1435
273,171,53,593,0.739130435,1,0.85,17,23,1389
274,508,157,170,0.909090909,1,0.952380952,20,22,1420
275,536,594,509,0.857142857,1,0.923076923,24,28,1404
276,231,612,87,1,1,1,20,20,1395
277,52,165,618,0.848484848,1,0.918032787,28,33,1493
278,647,170,82,0.8125,1,0.896551724,13,16,1394
279,181,340,514,0.8,1,0.888888889,12,15,1456
280,569,499,459,0.866666667,1,0.928571429,13,15,1484
281,648,476,228,0.892857143,1,0.943396226,25,28,1524
282,79,124,140,0.954545455,1,0.976744186,21,22,1462
283,524,485,467,0.709677419,1,0.830188679,22,31,1404
284,557,542,286,0.772727273,1,0.871794872,17,22,1494
285,95,195,626,0.823529412,1,0.903225806,14,17,1453
286,161,402,515,0.846153846,1,0.916666667,22,26,1483
287,263,367,490,0.96875,1,0.984126984,31,32,1437
288,128,183,167,0.888888889,1,0.941176471,16,18,1369
289,27,626,434,0.90625,1,0.950819672,29,32,1478
290,396,458,252,0.714285714,1,0.833333333,15,21,1469
291,662,189,374,0.888888889,1,0.941176471,16,18,1416
292,236,395,124,0.857142857,1,0.923076923,18,21,1341
293,178,218,237,0.935483871,1,0.966666667,29,31,1404
294,115,441,612,0.857142857,1,0.923076923,24,28,1423
295,55,288,383,0.916666667,1,0.956521739,22,24,1484
296,352,308,393,0.904761905,1,0.95,19,21,1395
297,32,323,657,1,1,1,32,32,1461
298,256,405,624,0.857142857,1,0.923076923,18,21,1385
299,134,657,215,0.888888889,1,0.941176471,32,36,1418
300,631,632,265,0.923076923,1,0.96,12,13,1340
301,652,257,208,0.75,1,0.857142857,15,20,1428
302,130,618,208,0.954545455,1,0.976744186,21,22,1472
303,34,465,628,0.875,1,0.933333333,21,24,1412
304,236,497,468,0.896551724,1,0.945454545,26,29,1469
305,161,319,194,0.791666667,1,0.88372093,19,24,1469
306,225,634,227,0.888888889,1,0.941176471,24,27,1415
307,429,39,129,0.954545455,1,0.976744186,21,22,1353
308,439,519,490,0.928571429,1,0.962962963,26,28,1432
309,612,508,379,0.894736842,1,0.944444444,17,19,1367
310,518,567,176,0.869565217,1,0.930232558,20,23,1435
311,127,45,285,0.9,1,0.947368421,18,20,1451
312,530,531,249,0.866666667,1,0.928571429,26,30,1446
313,254,636,486,0.714285714,1,0.833333333,25,35,1400
314,277,351,208,0.852941176,1,0.920634921,29,34,1432
315,593,405,122,0.882352941,1,0.9375,15,17,1425
316,611,274,482,0.80952381,1,0.894736842,17,21,1401
317,593,391,121,0.888888889,1,0.941176471,24,27,1448
318,33,92,279,0.826086957,1,0.904761905,19,23,1373
319,397,265,126,0.944444444,1,0.971428571,17,18,1415
320,415,486,31,0.823529412,1,0.903225806,14,17,1438
321,455,288,441,0.866666667,1,0.928571429,26,30,1410
