,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
209,70,313,1,1,1,16,16,1478
210,194,505,1,1,1,7,7,1612
211,514,618,0.866666667,1,0.928571429,13,15,1626
212,498,529,1,1,1,4,4,1602
213,86,546,0.875,1,0.933333333,7,8,1585
214,523,249,0.8,1,0.888888889,8,10,1400
215,563,88,1,1,1,10,10,1604
216,92,110,1,1,1,14,14,1595
217,369,375,0.916666667,1,0.956521739,11,12,1549
218,588,8,1,1,1,6,6,1539
219,134,46,1,1,1,12,12,1595
220,151,337,0.818181818,1,0.9,9,11,1664
221,501,453,0.9,1,0.947368421,9,10,1600
222,349,71,0.727272727,1,0.842105263,8,11,1588
223,286,108,0.916666667,1,0.956521739,11,12,1625
224,76,69,0.909090909,1,0.952380952,10,11,1629
225,619,487,0.8,1,0.888888889,8,10,1603
226,564,389,0.916666667,1,0.956521739,11,12,1530
227,631,258,0.9,1,0.947368421,9,10,1588
228,266,517,0.888888889,1,0.941176471,8,9,1569
229,322,660,0.777777778,1,0.875,7,9,1620
230,431,276,0.833333333,1,0.909090909,5,6,1526
231,599,71,1,1,1,6,6,1656
232,642,496,0.8,1,0.888888889,12,15,1533
233,440,431,1,1,1,3,3,1551
234,267,50,0.857142857,1,0.923076923,6,7,1579
235,449,596,1,1,1,5,5,1573
236,239,422,0.769230769,1,0.869565217,10,13,1485
237,327,298,0.692307692,1,0.818181818,9,13,1626
238,205,444,0.833333333,1,0.909090909,5,6,1637
239,358,302,1,1,1,11,11,1647
240,216,363,0.75,1,0.857142857,6,8,1612
241,427,220,0.933333333,1,0.965517241,14,15,1614
242,215,588,0.916666667,1,0.956521739,11,12,1535
243,96,398,0.8125,1,0.896551724,13,16,1607
244,579,243,1,1,1,13,13,1610
245,114,31,0.888888889,1,0.941176471,8,9,1639
246,64,425,1,1,1,7,7,1571
247,435,9,0.909090909,1,0.952380952,10,11,1624
248,495,169,0.785714286,1,0.88,11,14,1651
249,660,457,1,1,1,8,8,1456
250,196,146,1,1,1,15,15,1617
251,590,273,0.9,1,0.947368421,9,10,1596
252,403,339,0.866666667,1,0.928571429,13,15,1605
253,601,656,0.833333333,1,0.909090909,10,12,1639
254,111,395,0.928571429,1,0.962962963,13,14,1593
255,249,466,1,1,1,7,7,1513
256,347,325,0.666666667,1,0.8,4,6,1526
257,266,208,0.9,1,0.947368421,9,10,1599
258,536,87,1,1,1,2,2,1555
259,469,598,0.75,1,0.857142857,3,4,1629
260,131,122,1,1,1,6,6,1652
261,282,277,0.6,1,0.75,6,10,1576
262,120,32,1,1,1,9,9,1547
263,406,254,0.909090909,1,0.952380952,10,11,1551
264,401,383,0.846153846,1,0.916666667,11,13,1465
265,180,344,0.888888889,1,0.941176471,8,9,1617
266,339,661,1,1,1,6,6,1590
267,635,165,1,1,1,7,7,1613
268,8,499,0.923076923,1,0.96,12,13,1525
269,372,592,0.9,1,0.947368421,9,10,1665
270,241,564,0.923076923,1,0.96,12,13,1501
271,352,250,0.777777778,1,0.875,7,9,1579
272,129,44,0.666666667,1,0.8,2,3,1598
273,510,188,0.8,1,0.888888889,8,10,1607
274,154,467,0.866666667,1,0.928571429,13,15,1519
275,126,66,0.769230769,1,0.869565217,10,13,1598
276,3,319,1,1,1,12,12,1577
277,178,421,1,1,1,10,10,1567
278,305,193,1,1,1,7,7,1563
279,501,290,0.833333333,1,0.909090909,5,6,1578
280,43,432,0.833333333,1,0.909090909,5,6,1477
281,611,550,1,1,1,7,7,1564
282,316,414,0.8,1,0.888888889,8,10,1638
283,479,367,0.875,1,0.933333333,7,8,1607
284,442,364,0.909090909,1,0.952380952,10,11,1632
285,497,58,0.8,1,0.888888889,8,10,1675
286,408,495,0.75,1,0.857142857,9,12,1566
287,661,403,1,1,1,6,6,1616
288,60,134,0.666666667,1,0.8,2,3,1645
289,454,201,0.8,1,0.888888889,8,10,1640
290,194,164,0.888888889,1,0.941176471,8,9,1541
291,517,626,0.666666667,1,0.8,4,6,1610
292,611,492,0.9,1,0.947368421,9,10,1626
293,41,166,0.8,1,0.888888889,8,10,1506
294,45,228,0.666666667,1,0.8,4,6,1638
