,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
210,556,398,1,1,1,4,4,1789
211,142,417,0.666666667,1,0.8,2,3,1714
212,185,274,0.888888889,1,0.941176471,8,9,1723
213,230,307,0.833333333,1,0.909090909,5,6,1702
214,168,264,1,1,1,7,7,1703
215,478,104,1,1,1,2,2,1750
216,519,159,1,1,1,7,7,1747
217,174,7,0.833333333,1,0.909090909,5,6,1741
218,494,502,1,1,1,6,6,1642
219,391,111,1,1,1,4,4,1721
220,255,5,0.8,1,0.888888889,4,5,1751
221,651,167,0,0,0,0,0,1753
222,440,41,1,1,1,6,6,1738
223,124,218,1,1,1,6,6,1718
224,545,130,1,1,1,7,7,1708
225,633,110,1,1,1,2,2,1766
226,496,407,1,1,1,13,13,1801
227,29,48,0.888888889,1,0.941176471,8,9,1756
228,221,282,0.8,1,0.888888889,4,5,1736
229,408,177,1,1,1,10,10,1683
230,374,250,0.777777778,1,0.875,7,9,1668
231,165,551,1,1,1,5,5,1774
232,608,587,0.857142857,1,0.923076923,6,7,1721
233,391,220,1,1,1,6,6,1728
234,202,622,0.714285714,1,0.833333333,5,7,1726
235,186,440,1,1,1,8,8,1615
236,371,54,1,1,1,4,4,1704
237,83,42,1,1,1,4,4,1646
238,198,427,1,1,1,7,7,1658
239,562,299,1,1,1,5,5,1669
240,497,180,0.8,1,0.888888889,4,5,1797
241,295,32,1,1,1,5,5,1710
242,257,530,1,1,1,9,9,1769
243,356,290,1,1,1,4,4,1754
244,127,200,1,1,1,9,9,1755
245,90,307,1,1,1,4,4,1707
246,626,227,1,1,1,10,10,1768
247,296,97,0.833333333,1,0.909090909,5,6,1742
248,113,587,1,1,1,6,6,1689
249,103,498,1,1,1,4,4,1742
250,240,291,1,1,1,6,6,1722
251,526,267,1,1,1,7,7,1758
252,402,248,1,1,1,6,6,1734
253,229,265,1,1,1,5,5,1706
254,26,598,0,0,0,0,0,1798
255,132,595,1,1,1,4,4,1646
256,520,21,1,1,1,4,4,1703
257,432,648,1,1,1,8,8,1631
258,270,105,0.875,1,0.933333333,7,8,1783
259,246,568,1,1,1,8,8,1707
260,518,451,1,1,1,6,6,1718
261,175,533,1,1,1,7,7,1719
262,13,85,0.857142857,1,0.923076923,6,7,1738
263,96,563,1,1,1,4,4,1636
264,536,357,1,1,1,4,4,1759
265,126,497,1,1,1,5,5,1791
