,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
671,478,528,0.833333333,1,0.909090909,5,6,1672
672,377,612,1,1,1,6,6,1697
673,634,397,1,1,1,7,7,1723
674,62,102,1,1,1,5,5,1670
675,545,471,1,1,1,5,5,1679
676,553,139,1,1,1,4,4,1723
677,399,358,0.888888889,1,0.941176471,8,9,1687
678,495,35,0.875,1,0.933333333,7,8,1793
679,27,344,0.8,1,0.888888889,4,5,1741
680,525,250,1,1,1,6,6,1761
681,125,357,1,1,1,3,3,1659
682,30,368,1,1,1,6,6,1753
683,164,316,0.833333333,1,0.909090909,5,6,1684
684,157,572,1,1,1,3,3,1704
685,564,551,1,1,1,7,7,1653
686,208,299,1,1,1,6,6,1623
687,41,81,1,1,1,10,10,1657
688,82,62,1,1,1,2,2,1683
689,431,466,1,1,1,9,9,1767
690,33,472,1,1,1,7,7,1726
691,378,123,1,1,1,3,3,1705
692,2,100,1,1,1,6,6,1689
693,281,611,1,1,1,6,6,1770
694,72,494,1,1,1,9,9,1734
695,524,566,1,1,1,7,7,1717
696,225,205,1,1,1,7,7,1698
697,228,119,0.833333333,1,0.909090909,5,6,1728
698,343,501,0.833333333,1,0.909090909,5,6,1701
699,33,148,0.833333333,1,0.909090909,5,6,1777
700,200,477,1,1,1,4,4,1745
701,583,205,0.909090909,1,0.952380952,10,11,1626
702,582,111,1,1,1,6,6,1746
703,181,476,1,1,1,3,3,1732
704,452,102,1,1,1,2,2,1633
705,106,402,0.5,1,0.666666667,2,4,1700
706,307,395,1,1,1,5,5,1631
707,334,282,0.75,1,0.857142857,3,4,1717
708,157,200,1,1,1,4,4,1679
709,348,435,1,1,1,5,5,1732
710,42,127,1,1,1,9,9,1848
711,334,299,0.833333333,1,0.909090909,5,6,1725
712,573,567,1,1,1,7,7,1782
713,180,607,1,1,1,7,7,1676
714,411,419,1,1,1,5,5,1778
715,304,192,1,1,1,4,4,1726
716,49,500,0.875,1,0.933333333,7,8,1646
717,193,301,1,1,1,5,5,1794
718,632,601,1,1,1,4,4,1702
719,66,119,1,1,1,7,7,1768
720,133,371,0.75,1,0.857142857,3,4,1707
721,392,168,1,1,1,5,5,1692
722,86,374,1,1,1,3,3,1732
723,295,589,1,1,1,4,4,1763
724,568,140,0.75,1,0.857142857,3,4,1704
725,140,474,1,1,1,11,11,1719
726,389,33,0.833333333,1,0.909090909,5,6,1780
727,146,86,1,1,1,6,6,1750
728,323,611,1,1,1,11,11,1637
729,558,620,0.75,1,0.857142857,3,4,1791
730,71,518,1,1,1,15,15,1720
731,626,338,1,1,1,7,7,1803
732,88,210,1,1,1,6,6,1783
733,332,166,1,1,1,5,5,1693
734,445,609,1,1,1,2,2,1731
735,321,370,0.888888889,1,0.941176471,8,9,1749
736,309,497,1,1,1,5,5,1776
737,119,278,1,1,1,7,7,1764
738,309,331,1,1,1,6,6,1789
739,285,164,0.857142857,1,0.923076923,6,7,1709
740,456,644,0.75,1,0.857142857,3,4,1623
741,603,348,0.857142857,1,0.923076923,6,7,1713
742,273,441,1,1,1,4,4,1611
743,440,504,1,1,1,3,3,1728
744,316,508,0.875,1,0.933333333,7,8,1666
745,133,463,1,1,1,4,4,1760
746,602,255,1,1,1,3,3,1674
747,520,282,1,1,1,5,5,1727
748,351,192,0.875,1,0.933333333,7,8,1699
749,34,27,0.857142857,1,0.923076923,6,7,1735
750,462,200,1,1,1,5,5,1712
751,643,528,1,1,1,2,2,1672
752,261,284,1,1,1,6,6,1764
753,577,100,0.8,1,0.888888889,4,5,1633
754,533,244,1,1,1,6,6,1736
755,36,9,1,1,1,5,5,1769
756,492,512,1,1,1,10,10,1742
757,304,571,1,1,1,7,7,1801
758,598,339,1,1,1,5,5,1655
759,621,567,0.8,1,0.888888889,4,5,1733
760,311,182,1,1,1,2,2,1752
761,320,403,0.833333333,1,0.909090909,5,6,1689
762,334,356,1,1,1,4,4,1733
763,177,348,0.75,1,0.857142857,3,4,1680
764,284,154,1,1,1,7,7,1773
765,169,480,1,1,1,8,8,1733
766,36,490,0.9,1,0.947368421,9,10,1707
767,226,116,1,1,1,7,7,1726
768,308,50,0.875,1,0.933333333,7,8,1696
769,600,357,0.666666667,1,0.8,2,3,1765
770,624,543,0.666666667,1,0.8,2,3,1695
771,393,343,1,1,1,4,4,1769
772,384,203,0.857142857,1,0.923076923,6,7,1658
773,588,157,1,1,1,4,4,1710
774,413,513,1,1,1,10,10,1681
775,268,265,1,1,1,5,5,1796
776,612,394,1,1,1,4,4,1734
777,464,146,0.833333333,1,0.909090909,5,6,1708
778,337,538,0.857142857,1,0.923076923,6,7,1680
779,610,542,0.8,1,0.888888889,4,5,1668
780,90,206,1,1,1,8,8,1737
781,323,551,1,1,1,11,11,1667
782,535,158,1,1,1,9,9,1786
783,295,600,1,1,1,6,6,1775
784,429,204,1,1,1,2,2,1669
785,612,628,0.875,1,0.933333333,7,8,1739
786,549,123,1,1,1,7,7,1714
787,368,36,1,1,1,7,7,1741
788,268,448,0.916666667,1,0.956521739,11,12,1815
789,157,513,1,1,1,3,3,1671
790,248,81,0.833333333,1,0.909090909,5,6,1716
791,155,559,1,1,1,6,6,1698
792,302,262,1,1,1,5,5,1735
793,259,362,1,1,1,3,3,1760
794,166,580,0.875,1,0.933333333,7,8,1761
795,151,594,1,1,1,6,6,1688
796,369,270,1,1,1,6,6,1659
797,256,360,1,1,1,6,6,1671
798,181,272,1,1,1,4,4,1767
799,20,321,0.909090909,1,0.952380952,10,11,1655
800,42,109,0.8,1,0.888888889,4,5,1731
801,102,536,1,1,1,9,9,1654
802,269,125,1,1,1,6,6,1557
803,288,61,1,1,1,8,8,1671
804,249,476,1,1,1,7,7,1678
805,592,83,1,1,1,7,7,1753
806,339,576,1,1,1,6,6,1714
807,417,303,0.666666667,1,0.8,2,3,1686
808,355,240,1,1,1,5,5,1734
809,288,317,1,1,1,5,5,1744
810,54,609,1,1,1,5,5,1678
811,470,610,0,0,0,0,0,1742
812,579,136,1,1,1,4,4,1749
813,458,102,1,1,1,6,6,1775
814,43,423,0.8,1,0.888888889,4,5,1765
815,66,581,1,1,1,12,12,1767
816,491,5,1,1,1,3,3,1722
817,474,533,1,1,1,12,12,1696
818,300,216,1,1,1,4,4,1691
819,78,518,1,1,1,7,7,1721
820,357,184,0.833333333,1,0.909090909,5,6,1773
821,2,555,1,1,1,6,6,1808
822,492,406,1,1,1,6,6,1656
823,201,46,1,1,1,6,6,1789
824,146,613,0.8,1,0.888888889,4,5,1747
825,630,427,1,1,1,10,10,1781
826,145,605,0.857142857,1,0.923076923,6,7,1844
827,472,340,1,1,1,6,6,1775
828,631,236,1,1,1,4,4,1804
829,143,620,1,1,1,9,9,1658
830,330,116,0.666666667,1,0.8,2,3,1695
831,370,275,1,1,1,8,8,1683
832,627,3,1,1,1,8,8,1660
833,588,397,1,1,1,8,8,1679
834,579,346,0.909090909,1,0.952380952,10,11,1731
835,54,82,1,1,1,7,7,1682
836,39,239,1,1,1,5,5,1751
837,505,430,1,1,1,7,7,1735
838,146,405,0.857142857,1,0.923076923,6,7,1725
839,127,556,1,1,1,3,3,1785
840,126,352,0.9,1,0.947368421,9,10,1682
841,264,478,1,1,1,7,7,1676
842,584,305,1,1,1,5,5,1757
843,457,322,1,1,1,8,8,1733
844,94,246,1,1,1,5,5,1768
845,277,394,1,1,1,4,4,1724
846,477,296,1,1,1,5,5,1682
847,530,15,1,1,1,8,8,1659
848,183,319,1,1,1,4,4,1692
849,597,2,1,1,1,6,6,1791
850,556,403,1,1,1,4,4,1742
851,535,234,1,1,1,3,3,1716
852,201,245,1,1,1,8,8,1733
853,230,290,1,1,1,8,8,1731
854,514,493,1,1,1,6,6,1725
855,172,227,0.9,1,0.947368421,9,10,1725
856,9,536,0.666666667,1,0.8,2,3,1642
857,171,585,1,1,1,10,10,1659
858,539,408,1,1,1,9,9,1843
859,349,96,0.875,1,0.933333333,7,8,1732
860,480,291,1,1,1,8,8,1685
861,282,522,0.875,1,0.933333333,7,8,1758
862,65,110,1,1,1,6,6,1720
863,193,23,0.714285714,1,0.833333333,5,7,1763
864,557,152,1,1,1,8,8,1684
865,338,82,1,1,1,7,7,1722
866,143,365,0.888888889,1,0.941176471,8,9,1727
867,140,330,1,1,1,2,2,1674
868,516,622,1,1,1,9,9,1742
869,620,206,1,1,1,8,8,1722
870,151,590,1,1,1,5,5,1776
871,198,45,1,1,1,7,7,1690
872,11,346,1,1,1,10,10,1712
873,80,70,1,1,1,6,6,1712
874,141,531,1,1,1,8,8,1696
875,495,347,1,1,1,4,4,1685
876,434,395,1,1,1,2,2,1706
877,483,643,1,1,1,9,9,1725
878,18,455,1,1,1,2,2,1723
879,68,436,0.857142857,1,0.923076923,6,7,1795
880,205,70,1,1,1,5,5,1751
881,488,2,1,1,1,6,6,1752
882,95,179,1,1,1,4,4,1683
883,187,136,1,1,1,6,6,1657
884,138,279,1,1,1,6,6,1735
885,333,84,1,1,1,4,4,1730
886,485,627,1,1,1,5,5,1745
887,547,556,1,1,1,2,2,1655
888,67,192,1,1,1,6,6,1760
889,253,55,1,1,1,6,6,1729
890,499,361,1,1,1,8,8,1627
891,497,274,0.75,1,0.857142857,3,4,1779
892,635,412,1,1,1,6,6,1691
893,424,639,1,1,1,6,6,1625
