,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
157,565,586,390,0.882352941,1,0.9375,15,17,1644
158,99,299,464,0.818181818,1,0.9,9,11,1578
159,585,592,508,0.846153846,1,0.916666667,11,13,1539
160,381,391,43,0.7,1,0.823529412,7,10,1574
161,408,478,459,0.857142857,1,0.923076923,18,21,1678
162,635,162,285,0.894736842,1,0.944444444,17,19,1726
163,206,348,62,0.882352941,1,0.9375,15,17,1606
164,494,248,64,0.833333333,1,0.909090909,10,12,1623
165,139,156,401,0.846153846,1,0.916666667,11,13,1628
166,339,31,443,0.8125,1,0.896551724,13,16,1569
167,521,12,122,0.904761905,1,0.95,19,21,1630
168,646,135,572,0.866666667,1,0.928571429,13,15,1697
169,122,158,519,0.923076923,1,0.96,24,26,1674
170,491,268,421,0.882352941,1,0.9375,15,17,1547
171,315,31,350,0.8125,1,0.896551724,13,16,1641
172,562,265,143,0.75,1,0.857142857,9,12,1594
173,609,254,424,0.846153846,1,0.916666667,11,13,1615
174,271,362,21,0.866666667,1,0.928571429,13,15,1601
175,547,449,420,0.894736842,1,0.944444444,17,19,1585
176,236,39,312,0.8125,1,0.896551724,13,16,1645
177,567,53,332,0.8,1,0.888888889,12,15,1602
178,291,107,238,0.875,1,0.933333333,14,16,1648
179,340,505,81,0.571428571,1,0.727272727,4,7,1565
180,476,389,60,0.666666667,1,0.8,4,6,1627
181,153,429,442,0.75,1,0.857142857,12,16,1597
182,648,651,108,0.5,1,0.666666667,2,4,1665
183,29,163,425,0.857142857,1,0.923076923,12,14,1615
184,341,632,552,0.846153846,1,0.916666667,11,13,1590
185,199,330,479,0.846153846,1,0.916666667,11,13,1595
186,109,250,423,0.8,1,0.888888889,16,20,1570
187,427,410,470,0.8,1,0.888888889,12,15,1585
188,201,38,337,0.76,1,0.863636364,19,25,1689
189,594,283,532,0.777777778,1,0.875,7,9,1574
190,25,181,313,0.882352941,1,0.9375,15,17,1584
191,106,254,149,0.846153846,1,0.916666667,11,13,1559
192,18,581,485,0.785714286,1,0.88,11,14,1646
193,195,99,392,0.875,1,0.933333333,14,16,1563
194,28,395,363,0.733333333,1,0.846153846,11,15,1598
195,197,275,463,0.882352941,1,0.9375,15,17,1616
196,393,529,457,0.75,1,0.857142857,9,12,1605
197,239,265,229,0.8125,1,0.896551724,13,16,1598
198,268,632,514,0.882352941,1,0.9375,15,17,1554
199,315,130,230,0.833333333,1,0.909090909,15,18,1630
200,186,426,80,0.833333333,1,0.909090909,15,18,1690
201,228,418,285,0.857142857,1,0.923076923,12,14,1649
202,67,222,65,0.869565217,1,0.930232558,20,23,1637
203,623,478,336,0.9,1,0.947368421,18,20,1640
204,534,178,598,0.777777778,1,0.875,7,9,1660
205,539,483,530,0.833333333,1,0.909090909,15,18,1662
206,549,230,147,0.888888889,1,0.941176471,16,18,1604
207,621,563,608,0.75,1,0.857142857,15,20,1602
208,58,396,107,0.863636364,1,0.926829268,19,22,1629
209,442,554,93,0.888888889,1,0.941176471,16,18,1566
210,289,252,616,0.888888889,1,0.941176471,16,18,1636
211,633,523,218,0.894736842,1,0.944444444,17,19,1652
212,284,637,282,0.842105263,1,0.914285714,16,19,1591
213,68,597,274,0.85,1,0.918918919,17,20,1606
214,161,403,595,0.8125,1,0.896551724,13,16,1606
215,277,589,324,0.888888889,1,0.941176471,16,18,1628
216,593,274,641,0.80952381,1,0.894736842,17,21,1576
217,54,631,562,0.666666667,1,0.8,8,12,1624
218,453,62,523,0.833333333,1,0.909090909,15,18,1546
219,443,541,554,0.894736842,1,0.944444444,17,19,1511
220,378,319,448,0.714285714,1,0.833333333,15,21,1567
221,152,648,349,0.866666667,1,0.928571429,13,15,1617
222,436,400,645,0.826086957,1,0.904761905,19,23,1600
223,527,544,430,0.869565217,1,0.930232558,20,23,1604
224,188,471,581,0.823529412,1,0.903225806,14,17,1610
225,623,629,94,0.8,1,0.888888889,12,15,1651
226,172,53,131,0.888888889,1,0.941176471,16,18,1592
227,307,320,440,0.769230769,1,0.869565217,10,13,1653
228,73,388,608,0.909090909,1,0.952380952,20,22,1661
