,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
172,443,176,475,504,0.62962963,1,0.772727273,17,27,1550
173,325,456,544,156,0.794117647,1,0.885245902,27,34,1577
174,520,359,181,133,0.730769231,1,0.844444444,19,26,1505
175,58,220,487,417,0.692307692,1,0.818181818,18,26,1498
176,368,277,571,218,0.678571429,1,0.808510638,19,28,1524
177,335,271,31,466,0.666666667,1,0.8,16,24,1484
178,313,486,566,561,0.689655172,1,0.816326531,20,29,1500
179,306,228,548,234,0.666666667,1,0.8,14,21,1536
180,555,566,47,397,0.694444444,1,0.819672131,25,36,1511
181,611,288,589,86,0.655172414,1,0.791666667,19,29,1510
182,506,299,463,86,0.6875,1,0.814814815,22,32,1470
183,191,52,30,213,0.653846154,1,0.790697674,17,26,1487
184,332,370,513,539,0.741935484,1,0.851851852,23,31,1577
185,437,27,46,525,0.652173913,1,0.789473684,15,23,1495
186,54,126,308,511,0.730769231,1,0.844444444,19,26,1557
187,556,293,639,435,0.6875,1,0.814814815,22,32,1524
188,493,40,444,295,0.666666667,1,0.8,18,27,1506
189,292,345,354,45,0.756756757,1,0.861538462,28,37,1599
190,409,350,449,548,0.724137931,1,0.84,21,29,1493
191,192,233,361,60,0.666666667,1,0.8,16,24,1546
192,425,141,420,113,0.787878788,1,0.881355932,26,33,1501
193,299,48,321,637,0.652173913,1,0.789473684,15,23,1436
194,126,163,167,265,0.771428571,1,0.870967742,27,35,1540
195,360,295,587,414,0.666666667,1,0.8,16,24,1520
196,577,603,313,359,0.71875,1,0.836363636,23,32,1522
197,496,207,45,145,0.666666667,1,0.8,14,21,1496
198,76,93,610,239,0.666666667,1,0.8,14,21,1605
199,371,365,306,312,0.71875,1,0.836363636,23,32,1577
200,126,494,315,363,0.692307692,1,0.818181818,18,26,1500
201,140,639,463,70,0.743589744,1,0.852941176,29,39,1522
202,367,575,339,644,0.714285714,1,0.833333333,20,28,1519
203,17,179,368,249,0.810810811,1,0.895522388,30,37,1510
204,445,280,106,341,0.724137931,1,0.84,21,29,1547
205,547,372,162,643,0.68,1,0.80952381,17,25,1506
206,27,354,448,71,0.724137931,1,0.84,21,29,1529
207,78,125,68,501,0.709677419,1,0.830188679,22,31,1566
208,367,110,158,381,0.689655172,1,0.816326531,20,29,1459
209,217,616,21,463,0.6875,1,0.814814815,22,32,1492
210,230,181,264,524,0.692307692,1,0.818181818,18,26,1547
211,266,79,535,634,0.64516129,1,0.784313725,20,31,1511
212,582,222,469,648,0.689655172,1,0.816326531,20,29,1533
213,147,98,329,179,0.692307692,1,0.818181818,18,26,1530
214,183,165,196,277,0.757575758,1,0.862068966,25,33,1542
215,263,56,332,101,0.692307692,1,0.818181818,18,26,1486
216,277,605,271,509,0.75,1,0.857142857,21,28,1500
217,172,267,184,224,0.64,1,0.780487805,16,25,1528
218,441,439,295,21,0.766666667,1,0.867924528,23,30,1512
219,498,461,236,383,0.771428571,1,0.870967742,27,35,1473
220,88,547,128,31,0.740740741,1,0.85106383,20,27,1524
221,540,187,298,94,0.694444444,1,0.819672131,25,36,1559
222,41,11,277,490,0.733333333,1,0.846153846,22,30,1544
223,373,494,378,556,0.730769231,1,0.844444444,19,26,1452
224,41,550,52,145,0.677419355,1,0.807692308,21,31,1523
225,370,288,547,175,0.794117647,1,0.885245902,27,34,1527
226,210,281,597,454,0.608695652,1,0.756756757,14,23,1482
227,533,630,370,604,0.805555556,1,0.892307692,29,36,1514
228,252,452,262,463,0.741935484,1,0.851851852,23,31,1482
229,539,428,75,595,0.72,1,0.837209302,18,25,1530
230,74,499,285,424,0.653846154,1,0.790697674,17,26,1509
231,415,500,481,314,0.71875,1,0.836363636,23,32,1502
232,527,122,337,407,0.75,1,0.857142857,24,32,1518
233,204,280,182,283,0.75,1,0.857142857,30,40,1519
234,234,211,223,75,0.708333333,1,0.829268293,17,24,1522
235,238,303,434,616,0.631578947,1,0.774193548,12,19,1551
236,610,433,237,585,0.774193548,1,0.872727273,24,31,1589
237,331,413,298,10,0.7,1,0.823529412,21,30,1510
238,502,67,387,59,0.7,1,0.823529412,21,30,1502
239,164,509,500,590,0.681818182,1,0.810810811,15,22,1470
240,398,507,491,245,0.55,1,0.709677419,11,20,1508
241,516,126,175,431,0.766666667,1,0.867924528,23,30,1526
242,2,320,459,417,0.678571429,1,0.808510638,19,28,1514
243,609,529,583,251,0.703703704,1,0.826086957,19,27,1544
244,112,457,462,514,0.774193548,1,0.872727273,24,31,1522
245,599,219,486,207,0.681818182,1,0.810810811,15,22,1551
246,636,190,331,28,0.692307692,1,0.818181818,18,26,1473
247,141,343,131,254,0.709677419,1,0.830188679,22,31,1546
